date,cases,total_tests,County
2020-02-01,0.0,1.0,Stanislaus
2020-02-02,0.0,0.0,Stanislaus
2020-02-03,0.0,0.0,Stanislaus
2020-02-04,0.0,0.0,Stanislaus
2020-02-05,0.0,0.0,Stanislaus
2020-02-06,0.0,0.0,Stanislaus
2020-02-07,0.0,1.0,Stanislaus
2020-02-08,0.0,0.0,Stanislaus
2020-02-09,0.0,0.0,Stanislaus
2020-02-10,1.0,0.0,Stanislaus
2020-02-11,0.0,1.0,Stanislaus
2020-02-12,0.0,0.0,Stanislaus
2020-02-13,0.0,0.0,Stanislaus
2020-02-14,0.0,0.0,Stanislaus
2020-02-15,0.0,0.0,Stanislaus
2020-02-16,0.0,0.0,Stanislaus
2020-02-17,0.0,1.0,Stanislaus
2020-02-18,0.0,0.0,Stanislaus
2020-02-19,0.0,0.0,Stanislaus
2020-02-20,1.0,0.0,Stanislaus
2020-02-21,0.0,0.0,Stanislaus
2020-02-22,0.0,0.0,Stanislaus
2020-02-23,0.0,0.0,Stanislaus
2020-02-24,0.0,0.0,Stanislaus
2020-02-25,0.0,1.0,Stanislaus
2020-02-26,0.0,0.0,Stanislaus
2020-02-27,0.0,0.0,Stanislaus
2020-02-28,0.0,2.0,Stanislaus
2020-02-29,0.0,0.0,Stanislaus
2020-03-01,0.0,1.0,Stanislaus
2020-03-02,0.0,3.0,Stanislaus
2020-03-03,2.0,0.0,Stanislaus
2020-03-04,0.0,6.0,Stanislaus
2020-03-05,0.0,2.0,Stanislaus
2020-03-06,1.0,20.0,Stanislaus
2020-03-07,4.0,2.0,Stanislaus
2020-03-08,1.0,2.0,Stanislaus
2020-03-09,1.0,13.0,Stanislaus
2020-03-10,0.0,6.0,Stanislaus
2020-03-11,4.0,20.0,Stanislaus
2020-03-12,0.0,65.0,Stanislaus
2020-03-13,2.0,100.0,Stanislaus
2020-03-14,5.0,56.0,Stanislaus
2020-03-15,4.0,50.0,Stanislaus
2020-03-16,1.0,86.0,Stanislaus
2020-03-17,4.0,97.0,Stanislaus
2020-03-18,3.0,92.0,Stanislaus
2020-03-19,4.0,68.0,Stanislaus
2020-03-20,1.0,100.0,Stanislaus
2020-03-21,6.0,42.0,Stanislaus
2020-03-22,6.0,28.0,Stanislaus
2020-03-23,6.0,119.0,Stanislaus
2020-03-24,8.0,100.0,Stanislaus
2020-03-25,9.0,111.0,Stanislaus
2020-03-26,7.0,122.0,Stanislaus
2020-03-27,2.0,136.0,Stanislaus
2020-03-28,2.0,56.0,Stanislaus
2020-03-29,5.0,61.0,Stanislaus
2020-03-30,5.0,141.0,Stanislaus
2020-03-31,7.0,126.0,Stanislaus
2020-04-01,15.0,123.0,Stanislaus
2020-04-02,11.0,93.0,Stanislaus
2020-04-03,11.0,142.0,Stanislaus
2020-04-04,6.0,73.0,Stanislaus
2020-04-05,11.0,53.0,Stanislaus
2020-04-06,14.0,120.0,Stanislaus
2020-04-07,16.0,182.0,Stanislaus
2020-04-08,17.0,155.0,Stanislaus
2020-04-09,16.0,167.0,Stanislaus
2020-04-10,12.0,106.0,Stanislaus
2020-04-11,7.0,81.0,Stanislaus
2020-04-12,8.0,56.0,Stanislaus
2020-04-13,8.0,183.0,Stanislaus
2020-04-14,6.0,108.0,Stanislaus
2020-04-15,13.0,164.0,Stanislaus
2020-04-16,7.0,135.0,Stanislaus
2020-04-17,3.0,180.0,Stanislaus
2020-04-18,2.0,85.0,Stanislaus
2020-04-19,8.0,66.0,Stanislaus
2020-04-20,8.0,249.0,Stanislaus
2020-04-21,14.0,279.0,Stanislaus
2020-04-22,19.0,262.0,Stanislaus
2020-04-23,57.0,451.0,Stanislaus
2020-04-24,4.0,317.0,Stanislaus
2020-04-25,3.0,157.0,Stanislaus
2020-04-26,8.0,97.0,Stanislaus
2020-04-27,15.0,283.0,Stanislaus
2020-04-28,16.0,335.0,Stanislaus
2020-04-29,16.0,292.0,Stanislaus
2020-04-30,13.0,290.0,Stanislaus
2020-05-01,7.0,299.0,Stanislaus
2020-05-02,5.0,99.0,Stanislaus
2020-05-03,8.0,91.0,Stanislaus
2020-05-04,28.0,403.0,Stanislaus
2020-05-05,6.0,302.0,Stanislaus
2020-05-06,12.0,374.0,Stanislaus
2020-05-07,16.0,355.0,Stanislaus
2020-05-08,9.0,397.0,Stanislaus
2020-05-09,14.0,116.0,Stanislaus
2020-05-10,8.0,117.0,Stanislaus
2020-05-11,7.0,376.0,Stanislaus
2020-05-12,10.0,339.0,Stanislaus
2020-05-13,7.0,300.0,Stanislaus
2020-05-14,9.0,334.0,Stanislaus
2020-05-15,19.0,358.0,Stanislaus
2020-05-16,7.0,137.0,Stanislaus
2020-05-17,9.0,117.0,Stanislaus
2020-05-18,11.0,397.0,Stanislaus
2020-05-19,12.0,461.0,Stanislaus
2020-05-20,14.0,438.0,Stanislaus
2020-05-21,16.0,502.0,Stanislaus
2020-05-22,11.0,456.0,Stanislaus
2020-05-23,10.0,161.0,Stanislaus
2020-05-24,8.0,129.0,Stanislaus
2020-05-25,20.0,136.0,Stanislaus
2020-05-26,30.0,553.0,Stanislaus
2020-05-27,20.0,498.0,Stanislaus
2020-05-28,25.0,441.0,Stanislaus
2020-05-29,41.0,603.0,Stanislaus
2020-05-30,30.0,231.0,Stanislaus
2020-05-31,17.0,209.0,Stanislaus
2020-06-01,54.0,772.0,Stanislaus
2020-06-02,37.0,662.0,Stanislaus
2020-06-03,59.0,580.0,Stanislaus
2020-06-04,40.0,560.0,Stanislaus
2020-06-05,76.0,642.0,Stanislaus
2020-06-06,33.0,248.0,Stanislaus
2020-06-07,34.0,177.0,Stanislaus
2020-06-08,80.0,1020.0,Stanislaus
2020-06-09,82.0,957.0,Stanislaus
2020-06-10,101.0,1019.0,Stanislaus
2020-06-11,90.0,864.0,Stanislaus
2020-06-12,91.0,941.0,Stanislaus
2020-06-13,59.0,283.0,Stanislaus
2020-06-14,57.0,232.0,Stanislaus
2020-06-15,148.0,1093.0,Stanislaus
2020-06-16,117.0,1158.0,Stanislaus
2020-06-17,153.0,1542.0,Stanislaus
2020-06-18,123.0,1055.0,Stanislaus
2020-06-19,134.0,1071.0,Stanislaus
2020-06-20,110.0,527.0,Stanislaus
2020-06-21,108.0,284.0,Stanislaus
2020-06-22,186.0,1251.0,Stanislaus
2020-06-23,185.0,1518.0,Stanislaus
2020-06-24,176.0,2005.0,Stanislaus
2020-06-25,179.0,1530.0,Stanislaus
2020-06-26,212.0,1566.0,Stanislaus
2020-06-27,113.0,608.0,Stanislaus
2020-06-28,100.0,576.0,Stanislaus
2020-06-29,206.0,1771.0,Stanislaus
2020-06-30,206.0,1856.0,Stanislaus
2020-07-01,297.0,1992.0,Stanislaus
2020-07-02,279.0,1932.0,Stanislaus
2020-07-03,172.0,1019.0,Stanislaus
2020-07-04,124.0,483.0,Stanislaus
2020-07-05,158.0,818.0,Stanislaus
2020-07-06,331.0,2382.0,Stanislaus
2020-07-07,402.0,2626.0,Stanislaus
2020-07-08,339.0,2153.0,Stanislaus
2020-07-09,300.0,1829.0,Stanislaus
2020-07-10,315.0,1841.0,Stanislaus
2020-07-11,170.0,954.0,Stanislaus
2020-07-12,141.0,795.0,Stanislaus
2020-07-13,304.0,2470.0,Stanislaus
2020-07-14,303.0,2413.0,Stanislaus
2020-07-15,374.0,2627.0,Stanislaus
2020-07-16,297.0,2134.0,Stanislaus
2020-07-17,283.0,1864.0,Stanislaus
2020-07-18,174.0,850.0,Stanislaus
2020-07-19,135.0,904.0,Stanislaus
2020-07-20,296.0,2302.0,Stanislaus
2020-07-21,284.0,2002.0,Stanislaus
2020-07-22,263.0,1596.0,Stanislaus
2020-07-23,171.0,1394.0,Stanislaus
2020-07-24,242.0,1339.0,Stanislaus
2020-07-25,172.0,645.0,Stanislaus
2020-07-26,103.0,460.0,Stanislaus
2020-07-27,261.0,2222.0,Stanislaus
2020-07-28,226.0,2224.0,Stanislaus
2020-07-29,222.0,1788.0,Stanislaus
2020-07-30,221.0,1771.0,Stanislaus
2020-07-31,213.0,1596.0,Stanislaus
2020-08-01,106.0,634.0,Stanislaus
2020-08-02,118.0,422.0,Stanislaus
2020-08-03,215.0,1906.0,Stanislaus
2020-08-04,209.0,1688.0,Stanislaus
2020-08-05,169.0,1467.0,Stanislaus
2020-08-06,159.0,1525.0,Stanislaus
2020-08-07,150.0,1347.0,Stanislaus
2020-08-08,122.0,453.0,Stanislaus
2020-08-09,75.0,291.0,Stanislaus
2020-08-10,208.0,1575.0,Stanislaus
2020-08-11,182.0,1812.0,Stanislaus
2020-08-12,104.0,1677.0,Stanislaus
2020-08-13,139.0,1360.0,Stanislaus
2020-08-14,130.0,1364.0,Stanislaus
2020-08-15,78.0,544.0,Stanislaus
2020-08-16,64.0,335.0,Stanislaus
2020-08-17,158.0,1528.0,Stanislaus
2020-08-18,125.0,1372.0,Stanislaus
2020-08-19,98.0,1426.0,Stanislaus
2020-08-20,103.0,1298.0,Stanislaus
2020-08-21,96.0,1041.0,Stanislaus
2020-08-22,69.0,402.0,Stanislaus
2020-08-23,50.0,289.0,Stanislaus
2020-08-24,135.0,1853.0,Stanislaus
