SampleDate,N1_Concentration_Merged,N2_Concentration_Merged,N/PMMoV,PV_Concentration_Merged,City,positives,Testing,NormalizedConc_crude,NormalizedConc,positives_crude,NormalizedConc_wo,NormalizedConc_wo_int,Type,N_gene,S_gene,BA.2,NormalizedBA.2,n_res_episodedate
2021-09-09,42.1538782,52.6931238,0.00010133333333333333,520000.0,Davis,15.0,1983.0,0.00010133333333333333,0.00010133333333333333,15.0,0.00010133333333333333,0.00010133333333333333,influent,,,,,
2021-09-10,10.5233478,10.5233478,0.0,529000.0,Davis,3.0,2276.0,0.0,0.0,3.0,0.0,0.0,influent,,,,,
2021-09-11,40.6207085,60.9328174,0.00016166666666666665,377000.0,Davis,5.0,1574.0,0.00016166666666666665,0.00016166666666666665,5.0,0.00016166666666666665,0.00016166666666666665,influent,,,,,
2021-09-12,10.0439191,0.0,0.0,124000.0,Davis,4.0,803.0,0.0,0.0,4.0,0.0,0.0,influent,,,,,
2021-09-13,51.5007686,30.8995843,0.0,284000.0,Davis,5.0,1131.0,0.0,0.0,5.0,0.0,0.0,influent,,,,,
2021-09-14,10.292629,10.292629,0.0,349000.0,Davis,9.0,1710.0,0.0,0.0,9.0,0.0,0.0,influent,,,,,
2021-09-15,40.3854322,10.0959432,0.0,228000.0,Davis,8.0,2045.0,0.0,0.0,8.0,0.0,0.0,influent,,,,,
2021-09-16,,,,,Davis,3.0,1587.0,,0.0,3.0,,0.0,influent,,,,,
2021-09-17,,,,,Davis,6.0,1767.0,,0.0,6.0,,0.0,influent,,,,,
2021-09-18,,,,,Davis,6.0,1846.0,,0.0,6.0,,0.0,influent,,,,,
2021-09-19,,,,,Davis,8.0,1046.0,,0.0,8.0,,0.0,influent,,,,,
2021-09-20,,,,,Davis,5.0,1091.0,,0.0,5.0,,0.0,influent,,,,,
2021-09-21,,,,,Davis,9.0,1913.0,,0.0,9.0,,0.0,influent,,,,,
2021-09-22,,,,,Davis,7.0,2141.0,,0.0,7.0,,0.0,influent,,,,,
2021-09-23,,,,,Davis,5.0,1267.0,,0.0,5.0,,0.0,influent,,,,,
2021-09-24,,,,,Davis,14.0,2319.0,,0.0,14.0,,0.0,influent,,,,,
2021-09-25,,,,,Davis,3.0,1431.0,,0.0,3.0,,0.0,influent,,,,,
2021-09-26,,,,,Davis,4.0,849.0,,0.0,4.0,,0.0,influent,,,,,
2021-09-27,,,,,Davis,4.0,1026.0,,0.0,4.0,,0.0,influent,,,,,
2021-09-28,,,,,Davis,8.0,1564.0,,0.0,8.0,,0.0,influent,,,,,
2021-09-29,,,,,Davis,9.0,2326.0,,0.0,9.0,,0.0,influent,,,,,
2021-09-30,,,,,Davis,0.0,1127.0,,0.0,0.0,,0.0,influent,,,,,
2021-10-01,,,,,Davis,11.0,2525.0,,0.0,11.0,,0.0,influent,,,,,
2021-10-02,,,,,Davis,3.0,1392.0,,0.0,3.0,,0.0,influent,,,,,
2021-10-03,,,,,Davis,7.0,724.0,,0.0,7.0,,0.0,influent,,,,,
2021-10-04,,,,,Davis,6.0,500.0,,0.0,6.0,,0.0,influent,,,,,
2021-10-05,,,,,Davis,7.0,2374.0,,0.0,7.0,,0.0,influent,,,,,
2021-10-06,,,,,Davis,6.0,2062.0,,0.0,6.0,,0.0,influent,,,,,
2021-10-07,0.0,0.0,0.0,665000.0,Davis,4.0,1475.0,0.0,0.0,4.0,0.0,0.0,influent,,,,,
2021-10-08,44.5207596,11.1296976,0.0,381000.0,Davis,3.0,1794.0,0.0,0.0,3.0,0.0,0.0,influent,,,,,
2021-10-09,0.0,0.0,0.0,99000.0,Davis,1.0,1506.0,0.0,0.0,1.0,0.0,0.0,influent,,,,,
2021-10-10,10.6857813,0.0,0.0,53200.0,Davis,1.0,625.0,0.0,0.0,1.0,0.0,0.0,influent,,,,,
2021-10-11,21.4605832,32.191329,0.0,241000.0,Davis,4.0,934.0,0.0,0.0,4.0,0.0,0.0,influent,,,,,
2021-10-12,21.8981671,21.8981671,0.0,288000.0,Davis,7.0,1422.0,0.0,0.0,7.0,0.0,0.0,influent,,,,,
2021-10-13,43.5444164,32.6578355,0.0,286000.0,Davis,7.0,2024.0,0.0,0.0,7.0,0.0,0.0,influent,,,,,
2021-10-14,49.5851898,0.0,0.0,335000.0,Davis,3.0,1630.0,0.0,0.0,3.0,0.0,0.0,influent,,,,,
2021-10-15,0.0,12.1114087,0.0,132000.0,Davis,6.0,2434.0,0.0,0.0,6.0,0.0,0.0,influent,,,,,
2021-10-16,37.540555,25.0266504,0.0,313000.0,Davis,2.0,1267.0,0.0,0.0,2.0,0.0,0.0,influent,,,,,
2021-10-17,12.12044,0.0,0.0,115000.0,Davis,3.0,335.0,0.0,0.0,3.0,0.0,0.0,influent,,,,,
2021-10-18,12.1693826,24.339137,0.0,220000.0,Davis,3.0,952.0,0.0,0.0,3.0,0.0,0.0,influent,,,,,
2021-10-19,11.6204142,0.0,0.0,408000.0,Davis,4.0,1062.0,0.0,0.0,4.0,0.0,0.0,influent,,,,,
2021-10-20,12.4458838,12.4458838,0.0,305000.0,Davis,8.0,2417.0,0.0,0.0,8.0,0.0,0.0,influent,,,,,
2021-10-21,11.1623835,11.1623835,0.0,329000.0,Davis,10.0,1571.0,0.0,0.0,10.0,0.0,0.0,influent,,,,,
2021-10-22,21.8088818,10.9042787,0.0,366000.0,Davis,9.0,2160.0,0.0,0.0,9.0,0.0,0.0,influent,,,,,
2021-10-23,11.0263598,11.0263598,0.0,449000.0,Davis,3.0,1276.0,0.0,0.0,3.0,0.0,0.0,influent,,,,,
2021-10-24,32.090323,0.0,0.0,196000.0,Davis,7.0,499.0,0.0,0.0,7.0,0.0,0.0,influent,,,,,
2021-10-25,21.6418004,32.463181,0.0,340000.0,Davis,4.0,1027.0,0.0,0.0,4.0,0.0,0.0,influent,,,,,
2021-10-26,44.0804815,55.1014233,0.001177,340000.0,Davis,6.0,1778.0,0.001177,0.001177,6.0,,0.0,influent,,,,,
2021-10-27,42.5940037,31.9450378,0.0,301000.0,Davis,11.0,2185.0,0.0,0.0,11.0,0.0,0.0,influent,,,,,
2021-10-28,0.0,0.0,0.0,351000.0,Davis,2.0,1467.0,0.0,0.0,2.0,0.0,0.0,influent,,,,,
2021-10-29,0.0,0.0,0.0,380000.0,Davis,8.0,1749.0,0.0,0.0,8.0,0.0,0.0,influent,,,,,
2021-10-30,0.0,35.0207734,0.0,310000.0,Davis,3.0,1309.0,0.0,0.0,3.0,0.0,0.0,influent,,,,,
2021-10-31,0.0,0.0,0.0,540000.0,Davis,0.0,407.0,0.0,0.0,0.0,0.0,0.0,influent,,,,,
2021-11-01,0.0,61.5847254,0.001376,291000.0,Davis,7.0,1108.0,0.001376,0.001376,7.0,,0.0,influent,,,,,
2021-11-02,0.0,0.0,0.0,461000.0,Davis,0.0,1643.0,0.0,0.0,0.0,0.0,0.0,influent,,,,,
2021-11-03,0.0,0.0,0.0,458000.0,Davis,6.0,2102.0,0.0,0.0,6.0,0.0,0.0,influent,,,,,
2021-11-04,11.1061536,11.1061536,0.0,216000.0,Davis,3.0,1473.0,0.0,0.0,3.0,0.0,0.0,influent,,,,,
2021-11-05,24.0516688,48.1048822,0.0008806666666666668,363000.0,Davis,6.0,1782.0,0.0008806666666666668,0.0008806666666666668,6.0,0.0008806666666666668,0.0008806666666666668,influent,,,,,
2021-11-06,0.0,10.7865382,0.0,71200.0,Davis,1.0,1173.0,0.0,0.0,1.0,0.0,0.0,influent,,,,,
2021-11-07,0.0,0.0,0.0,82500.0,Davis,2.0,735.0,0.0,0.0,2.0,0.0,0.0,influent,,,,,
2021-11-08,11.2660528,0.0,0.0,231000.0,Davis,1.0,290.0,0.0,0.0,1.0,0.0,0.0,influent,,,,,
2021-11-09,10.7569517,10.7569517,0.0,108000.0,Davis,3.0,2409.0,0.0,0.0,3.0,0.0,0.0,influent,,,,,
2021-11-10,0.0,0.0,0.0,9180.0,Davis,6.0,2317.0,0.0,0.0,6.0,0.0,0.0,influent,,,,,
2021-11-11,28.1177688,28.1177688,0.0,513000.0,Davis,0.0,219.0,0.0,0.0,0.0,0.0,0.0,influent,,,,,
2021-11-12,42.1138573,70.1921272,0.00010499999999999999,668000.0,Davis,1.0,1738.0,0.00010499999999999999,0.00010499999999999999,1.0,0.00010499999999999999,0.00010499999999999999,influent,,,,,
2021-11-13,26.1982942,0.0,0.0,244000.0,Davis,1.0,1100.0,0.0,0.0,1.0,0.0,0.0,influent,,,,,
2021-11-14,0.0,12.7914274,0.0,524000.0,Davis,1.0,583.0,0.0,0.0,1.0,0.0,0.0,influent,,,,,
2021-11-15,38.5311866,89.9117565,0.00027233333333333336,330000.0,Davis,3.0,1022.0,0.00027233333333333336,0.00027233333333333336,3.0,0.00027233333333333336,0.00027233333333333336,influent,,,,,
2021-11-16,12.9377425,51.7534304,0.00010766666666666666,481000.0,Davis,5.0,1666.0,0.00010766666666666666,0.00010766666666666666,5.0,0.00010766666666666666,0.00010766666666666666,influent,,,,,
2021-11-17,40.871048,13.6232376,0.0,417000.0,Davis,2.0,1604.0,0.0,0.0,2.0,0.0,0.0,influent,,,,,
2021-11-18,67.7053451,13.5401798,0.0,981000.0,Davis,3.0,1312.0,0.0,0.0,3.0,0.0,0.0,influent,,,,,
2021-11-19,153.620214,76.8025494,0.00048533333333333333,237000.0,Davis,3.0,1739.0,0.00048533333333333333,0.00048533333333333333,3.0,0.00048533333333333333,0.00048533333333333333,influent,,,,,
2021-11-20,12.8913236,25.7830715,0.0,176000.0,Davis,1.0,1232.0,0.0,0.0,1.0,0.0,0.0,influent,,,,,
2021-11-21,26.1365366,13.0680561,0.0,110000.0,Davis,3.0,576.0,0.0,0.0,3.0,0.0,0.0,influent,,,,,
2021-11-22,25.598607,12.7990985,0.0,173000.0,Davis,4.0,720.0,0.0,0.0,4.0,0.0,0.0,influent,,,,,
2021-11-23,26.4015913,39.6030307,0.0,142000.0,Davis,4.0,1520.0,0.0,0.0,4.0,0.0,0.0,influent,,,,,
2021-11-24,12.4701822,37.4117374,0.0,350000.0,Davis,7.0,1365.0,0.0,0.0,7.0,0.0,0.0,influent,,,,,
2021-11-25,120.9147263,129.3562603,0.00014950913190000002,836975.5859,Davis,0.0,,0.00014950913190000002,0.00014950913190000002,0.0,0.00014950913190000002,0.00014950913190000002,influent,,,,,
2021-11-26,50.06455898,72.32392311,8.857582763333332e-05,690868.4082,Davis,1.0,53.0,8.857582763333332e-05,8.857582763333332e-05,1.0,8.857582763333332e-05,8.857582763333332e-05,influent,,,,,
2021-11-27,71.38526917,46.66892052,6.484921839999999e-05,910220.6055,Davis,6.0,845.0,6.484921839999999e-05,6.484921839999999e-05,6.0,6.484921839999999e-05,6.484921839999999e-05,influent,,,,,
2021-11-28,55.83815098,58.63090038,7.650292723333333e-05,748135.1074,Davis,4.0,783.0,7.650292723333333e-05,7.650292723333333e-05,4.0,7.650292723333333e-05,7.650292723333333e-05,influent,,,,,
2021-11-29,32.63399601,65.27908802,8.811704966666666e-05,555585.3516,Davis,11.0,974.0,8.811704966666666e-05,8.811704966666666e-05,11.0,8.811704966666666e-05,8.811704966666666e-05,influent,,,,,
2021-11-30,32.91607141,19.19966102,3.20236675e-05,813706.4941,Davis,2.0,2048.0,3.20236675e-05,3.20236675e-05,2.0,3.20236675e-05,3.20236675e-05,influent,,,,,
2021-12-01,38.4222579,27.44291067,5.420322333333333e-05,607576.123,Davis,3.0,945.0,5.420322333333333e-05,5.420322333333333e-05,3.0,5.420322333333333e-05,5.420322333333333e-05,influent,,,,,
2021-12-02,81.09866144,101.3835239,0.00016802206533333335,543030.4198,Davis,8.0,2054.0,0.00016802206533333335,0.00016802206533333335,8.0,0.00016802206533333335,0.00016802206533333335,influent,,,,,
2021-12-03,75.3792572,95.94687464,0.00015357933476666666,557777.295,Davis,6.0,1226.0,0.00015357933476666666,0.00015357933476666666,6.0,0.00015357933476666666,0.00015357933476666666,influent,,,,,
2021-12-04,76.22663496,46.57818792,9.928323746666667e-05,618456.9824,Davis,5.0,2001.0,9.928323746666667e-05,9.928323746666667e-05,5.0,9.928323746666667e-05,9.928323746666667e-05,influent,,,,,
2021-12-05,48.22804928,55.11959072,7.468462793333333e-05,691893.6525,Davis,1.0,457.0,7.468462793333333e-05,7.468462793333333e-05,1.0,7.468462793333333e-05,7.468462793333333e-05,influent,,,,,
2021-12-06,8.06547048,0.0,0.0,719375.879,Davis,1.0,712.0,0.0,0.0,1.0,0.0,0.0,influent,,,,,
2021-12-07,27.56952288,31.50853872,3.72016611e-05,794024.5117,Davis,3.0,1651.0,3.72016611e-05,3.72016611e-05,3.0,3.72016611e-05,3.72016611e-05,influent,,,,,
2021-12-08,258.3392143,121.0327339,0.0003122647575666667,607452.3926,Davis,7.0,2215.0,0.0003122647575666667,0.0003122647575666667,7.0,0.0003122647575666667,0.0003122647575666667,influent,,,,,
2021-12-09,54.7122669219971,54.7122669219971,9.3694984993639e-05,583940.185546874,Davis,3.0,1461.0,9.3694984993639e-05,9.3694984993639e-05,3.0,9.3694984993639e-05,9.3694984993639e-05,influent,,,,,
2021-12-10,174.594287872314,154.03841972351,0.0002833774171048997,579849.853515626,Davis,1.0,1652.0,0.0002833774171048997,0.0002833774171048997,1.0,0.0002833774171048997,0.0002833774171048997,influent,,,,,
2021-12-11,19.295209646225,19.295209646225,3.1276288244315335e-05,616927.734375002,Davis,1.0,1179.0,3.1276288244315335e-05,3.1276288244315335e-05,1.0,3.1276288244315335e-05,3.1276288244315335e-05,influent,,,,,
2021-12-12,107.008409500122,110.157432556152,0.00017910117540878066,606265.820312499,Davis,3.0,518.0,0.00017910117540878066,0.00017910117540878066,3.0,0.00017910117540878066,0.00017910117540878066,influent,,,,,
2021-12-13,42.6499032974243,36.087236404419,7.404056720691001e-05,531716.210937501,Davis,2.0,897.0,7.404056720691001e-05,7.404056720691001e-05,2.0,7.404056720691001e-05,7.404056720691001e-05,influent,,,,,
2021-12-14,41.5401220321655,68.253436088562,0.00010268440771890301,534616.50390625,Davis,6.0,1783.0,0.00010268440771890301,0.00010268440771890301,6.0,0.00010268440771890301,0.00010268440771890301,influent,,,,,
2021-12-15,77.5856685638428,47.2193288803101,9.636293946560933e-05,647577.783203126,Davis,5.0,1641.0,9.636293946560933e-05,9.636293946560933e-05,5.0,9.636293946560933e-05,9.636293946560933e-05,influent,,,,,
2021-12-16,61.82473184,77.28724,0.00012775076223333335,544466.3085,Davis,9.0,1665.0,0.00012775076223333335,0.00012775076223333335,9.0,0.00012775076223333335,0.00012775076223333335,influent,,,,,
2021-12-17,85.91770176,92.05762864,0.00015267283463333333,582865.088,Davis,6.0,2130.0,0.00015267283463333333,0.00015267283463333333,6.0,0.00015267283463333333,0.00015267283463333333,influent,,,,,
2021-12-18,48.43220712,66.60058024,9.125586636666667e-05,630276.1232,Davis,6.0,1317.0,9.125586636666667e-05,9.125586636666667e-05,6.0,9.125586636666667e-05,9.125586636666667e-05,influent,,,,,
2021-12-19,64.43593504,55.22817608,0.00012262638866666667,487921.5331,Davis,16.0,988.0,0.00012262638866666667,0.00012262638866666667,16.0,0.00012262638866666667,0.00012262638866666667,influent,,,,,
2021-12-20,125.7095623,101.1680603,0.0002803644522,404611.9629,Davis,24.0,1256.0,0.0002803644522,0.0002803644522,24.0,0.0002803644522,0.0002803644522,influent,,,,,
2021-12-21,591.8008804,573.3492661,0.0010998317406666668,529694.7267,Davis,29.0,1703.0,0.0010998317406666668,0.0010998317406666668,29.0,0.0010998317406666668,0.0010998317406666668,influent,,,,,
2021-12-22,559.1421127,619.7839355,0.001512402631,389752.7101,Davis,31.0,2207.0,0.001512402631,0.001512402631,31.0,0.001512402631,0.001512402631,influent,,,,,
2021-12-23,401.848259,405.1219558,0.00053077334,760183.4474,Davis,45.0,3694.0,0.00053077334,0.00053077334,45.0,0.00053077334,0.00053077334,influent,,,,,
2021-12-24,395.6505585,356.0199738,0.0008374282556666666,448796.9728,Davis,0.0,,0.0008374282556666666,0.0008374282556666666,0.0,0.0008374282556666666,0.0008374282556666666,influent,,,,,
2021-12-25,1099.837265,1034.179306,0.001233935544,864719.6288,Davis,0.0,,0.001233935544,0.001233935544,0.0,0.001233935544,0.001233935544,influent,,,,,
2021-12-26,508.5267258,512.3028946,0.0009109104003333333,560334.8144,Davis,0.0,5.0,0.0009109104003333333,0.0009109104003333333,0.0,0.0009109104003333333,0.0009109104003333333,influent,,,,,
2021-12-27,541.2605286,504.6000671,0.0008184587156666668,638920.8006,Davis,36.0,751.0,0.0008184587156666668,0.0008184587156666668,36.0,0.0008184587156666668,0.0008184587156666668,influent,,,,,
2021-12-28,570.3947067,515.2782058,0.0010064414026666668,539362.207,Davis,129.0,3472.0,0.0010064414026666668,0.0010064414026666668,129.0,0.0010064414026666668,0.0010064414026666668,influent,,,,,
2021-12-29,520.7258987,545.0081634,0.0009471423993333333,562604.9805,Davis,39.0,766.0,0.0009471423993333333,0.0009471423993333333,39.0,0.0009471423993333333,0.0009471423993333333,influent,,,,,
2021-12-30,662.989502,568.0101395,0.001191437066,516602.8809,Davis,175.0,5487.0,0.001191437066,0.001191437066,175.0,0.001191437066,0.001191437066,influent,,,,,
2021-12-31,616.4860535,645.2523804,0.0012074964886666666,522460.498,Davis,0.0,,0.0012074964886666666,0.0012074964886666666,0.0,0.0012074964886666666,0.0012074964886666666,influent,,,,,
2022-01-01,844.3706512,886.7711639,0.001014752508,852987.207,Davis,0.0,13.0,0.001014752508,0.001014752508,0.0,0.001014752508,0.001014752508,influent,,,,,
2022-01-02,1146.237335,1099.680634,0.0018790277149999999,597627.6855,Davis,71.0,1078.0,0.0018790277149999999,0.0018790277149999999,71.0,0.0018790277149999999,0.0018790277149999999,influent,,,,,
2022-01-03,1425.165253,1428.981323,0.002675312393,533423.0469,Davis,115.0,1492.0,0.002675312393,0.002675312393,115.0,0.002675312393,0.002675312393,influent,,,,,
2022-01-04,1552.265167,1614.317017,0.0024247533009999996,652969.9707,Davis,239.0,3507.0,0.0024247533009999996,0.0024247533009999996,239.0,0.0024247533009999996,0.0024247533009999996,influent,,,,,
2022-01-05,1855.82016,1826.182251,0.0033437032366666667,550587.5,Davis,170.0,3132.0,0.0033437032366666667,0.0033437032366666667,170.0,0.0033437032366666667,0.0033437032366666667,influent,,,,,
2022-01-06,1682.395935,1857.939148,0.0033519000366666663,528108.6914,Davis,149.0,2715.0,0.0033519000366666663,0.0033519000366666663,149.0,0.0033519000366666663,0.0033519000366666663,influent,,,,,
2022-01-07,1986.485291,2137.509918,0.002956790371,697377.002,Davis,123.0,2816.0,0.002956790371,0.002956790371,123.0,0.002956790371,0.002956790371,influent,,,,,
2022-01-08,1283.177795,1360.065613,0.0019276535920000001,685611.6211,Davis,111.0,2620.0,0.0019276535920000001,0.0019276535920000001,111.0,0.0019276535920000001,0.0019276535920000001,influent,,,,,
2022-01-09,1103.770752,1127.714996,0.001925906134,579333.9844,Davis,86.0,1377.0,0.001925906134,0.001925906134,86.0,0.001925906134,0.001925906134,influent,,,,,
2022-01-10,886.5661621,940.0011444,0.0018617717003333333,490545.459,Davis,74.0,1936.0,0.0018617717003333333,0.0018617717003333333,74.0,0.0018617717003333333,0.0018617717003333333,influent,,,,,
2022-01-11,1106.255264,1147.820053,0.0015785551483333334,713967.8711,Davis,66.0,1516.0,0.0015785551483333334,0.0015785551483333334,66.0,0.0015785551483333334,0.0015785551483333334,influent,,,,,
2022-01-12,1224.328079,1245.150223,0.0013695576580000002,901560.5469,Davis,181.0,3499.0,0.0013695576580000002,0.0013695576580000002,181.0,0.0013695576580000002,0.0013695576580000002,influent,,,,,
2022-01-13,201.0066795,221.9668388,0.0001897727033,1114421.387,Davis,91.0,2878.0,0.0001897727033,0.0001897727033,91.0,0.0001897727033,0.0001897727033,influent,,,,,
2022-01-14,584.8184586,525.5173874,0.0005933377413333334,1087642.676,Davis,81.0,2643.0,0.0005933377413333334,0.0005933377413333334,81.0,0.0005933377413333334,0.0005933377413333334,influent,,,,,
2022-01-15,292.1201515,256.0104179,0.0008214678133333333,933514.7461,Davis,54.0,1996.0,0.0008214678133333333,0.0008214678133333333,54.0,0.0008214678133333333,0.0008214678133333333,influent,,,,,
2022-01-16,395.5766678,234.4742012,0.0007233432470000001,881603.125,Davis,41.0,1002.0,0.0007233432470000001,0.0007233432470000001,41.0,0.0007233432470000001,0.0007233432470000001,influent,,,,,
2022-01-17,246.2077713,229.7743416,0.000919677054,916966.5039,Davis,30.0,1000.0,0.000919677054,0.000919677054,30.0,0.000919677054,0.000919677054,influent,,,,,
2022-01-18,226.5278053,157.5278664,0.00048031525433333335,913182.3242,Davis,81.0,1591.0,0.00048031525433333335,0.00048031525433333335,81.0,0.00048031525433333335,0.00048031525433333335,influent,,,,,
2022-01-19,101.427393,61.56919003,0.00031900948193333334,660277.6855,Davis,94.0,2509.0,0.00031900948193333334,0.00031900948193333334,94.0,0.00031900948193333334,0.00031900948193333334,influent,,,,,
2022-01-20,871.8234253,882.0044708,0.001201294329,729974.2676,Davis,80.0,3050.0,0.001201294329,0.001201294329,80.0,0.001201294329,0.001201294329,influent,,,,,
2022-01-21,965.6420898,969.2887115,0.0014374544780000002,673040.7227,Davis,43.0,1860.0,0.0014374544780000002,0.0014374544780000002,43.0,0.0014374544780000002,0.0014374544780000002,influent,,,,,
2022-01-22,655.7794189,610.0598145,0.001190946165,531442.6758,Davis,69.0,3005.0,0.001190946165,0.001190946165,69.0,0.001190946165,0.001190946165,influent,,,,,
2022-01-23,479.3258667,489.9238968,0.0013411920506666666,361338.916,Davis,36.0,919.0,0.0013411920506666666,0.0013411920506666666,36.0,0.0013411920506666666,0.0013411920506666666,influent,,,,,
2022-01-24,407.2350311,312.0718575,0.0009183949033333334,391610.8887,Davis,24.0,888.0,0.0009183949033333334,0.0009183949033333334,24.0,0.0009183949033333334,0.0009183949033333334,influent,,,,,
2022-01-25,547.3009872,590.6296539,0.0010257829166666667,554664.4531,Davis,66.0,1928.0,0.0010257829166666667,0.0010257829166666667,66.0,0.0010257829166666667,0.0010257829166666667,influent,,,,,
2022-01-26,492.1696472,546.1318588,0.0009013316613333333,575981.9336,Davis,36.0,2483.0,0.0009013316613333333,0.0009013316613333333,36.0,0.0009013316613333333,0.0009013316613333333,influent,,,,,
2022-01-27,586.3088608,525.7413483,0.0007651606109999999,726677.6367,Davis,51.0,2589.0,0.0007651606109999999,0.0007651606109999999,51.0,0.0007651606109999999,0.0007651606109999999,influent,,,,,
2022-01-28,506.1706161,460.365448,0.0007125778949999999,678196.7773,Davis,23.0,1896.0,0.0007125778949999999,0.0007125778949999999,23.0,0.0007125778949999999,0.0007125778949999999,influent,,,,,
2022-01-29,454.1048813,423.5130692,0.0006053041056666667,724939.6973,Davis,33.0,1802.0,0.0006053041056666667,0.0006053041056666667,33.0,0.0006053041056666667,0.0006053041056666667,influent,,,,,
2022-01-30,405.9864807,373.0071259,0.00057267699,680133.4961,Davis,26.0,754.0,0.00057267699,0.00057267699,26.0,0.00057267699,0.00057267699,influent,,,,,
2022-01-31,311.0307121,249.5159912,0.000495861734,565224.8047,Davis,23.0,939.0,0.000495861734,0.000495861734,23.0,0.000495861734,0.000495861734,influent,,,,,
2022-02-01,415.234108,332.0595551,0.0004863019876666666,768343.2129,Davis,26.0,1753.0,0.0004863019876666666,0.0004863019876666666,26.0,0.0004863019876666666,0.0004863019876666666,influent,,,,,
